ad_id,date,ad_spend,impressions,clicks,ctr,conversions
1,2024-01-01,218.5430534813131,18110,1054,0.05819988956377692,86
2,2024-01-02,477.8214378844623,89309,1618,0.018116875118968975,108
3,2024-01-03,379.3972738151323,37266,3174,0.08517146997262921,335
4,2024-01-04,319.3963178886665,62992,2448,0.038862077724155446,351
5,2024-01-05,120.20838819909643,92948,2489,0.026778413736713,297
6,2024-01-06,120.1975341512912,16910,231,0.013660555884092254,24
7,2024-01-07,76.13762547568976,10206,644,0.06310013717421124,38
8,2024-01-08,439.7792655987208,97054,6888,0.07097079976095781,768
9,2024-01-09,320.50175528444396,97897,1125,0.011491669816235431,167
10,2024-01-10,368.63266000822045,33419,1874,0.05607588497561267,119
11,2024-01-11,59.263022433111104,60636,1842,0.030377993271323966,187
12,2024-01-12,486.45943347289744,60015,4084,0.06804965425310339,562
13,2024-01-13,424.59918836018977,64268,1651,0.025689301051845397,204
14,2024-01-14,145.55259980522428,97939,7069,0.07217757992219646,846
15,2024-01-15,131.82123524319528,28141,1260,0.04477452826836289,151
16,2024-01-16,132.53202943404523,90356,8521,0.094304750099606,732
17,2024-01-17,186.90900933179196,81910,1832,0.022366011476010254,145
18,2024-01-18,286.140394234507,66044,2687,0.04068499788020108,351
19,2024-01-19,244.3752583889521,77214,1560,0.020203590022534773,204
20,2024-01-20,181.05311308911885,43827,4085,0.09320738357633422,558
21,2024-01-21,325.33380262507075,65820,5855,0.08895472500759648,827
22,2024-01-22,112.77223729341883,72623,2412,0.03321261859190615,243
23,2024-01-23,181.46509184084817,91734,6366,0.0693962979920204,637
24,2024-01-24,214.86282948216126,85450,7139,0.08354593329432417,926
25,2024-01-25,255.23149289766616,32299,1936,0.05993993622093563,222
26,2024-01-26,403.3291826268561,53585,3090,0.05766539143417001,371
27,2024-01-27,139.85320197126188,74044,2352,0.03176489654799849,304
28,2024-01-28,281.40549728612524,52557,965,0.01836101756188519,134
29,2024-01-29,316.5865559879191,59080,5361,0.09074136763710224,449
30,2024-01-30,70.90268572399897,12693,1155,0.0909950366343654,101
31,2024-01-31,323.39518335564725,79163,5302,0.06697573361292523,314
32,2024-02-01,126.73585565928119,35939,1455,0.04048526670191157,156
33,2024-02-02,79.27321684337578,58925,2441,0.04142554094187526,130
